Attrition,BusinessTravel,Department,Education,EducationField,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
No,Travel_Rarely,Research & Development,3,Medical,2,1,Research Scientist,3,2859,No,3,3,6,0
No,Travel_Frequently,Research & Development,1,Life Sciences,3,5,Research Director,4,19161,No,3,3,5,4
No,Travel_Rarely,Research & Development,3,Technical Degree,4,1,Laboratory Technician,2,4876,No,3,3,6,0
Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,2,Laboratory Technician,3,6074,Yes,4,3,9,0
No,Travel_Rarely,Sales,2,Marketing,2,3,Sales Executive,1,7140,No,3,3,7,1
No,Travel_Rarely,Sales,4,Life Sciences,3,2,Sales Executive,4,5476,No,3,3,10,0
No,Travel_Rarely,Human Resources,2,Life Sciences,3,1,Human Resources,1,3423,No,3,4,7,5
No,Travel_Rarely,Research & Development,3,Life Sciences,3,2,Manufacturing Director,2,4765,No,4,4,1,0
No,Non-Travel,Research & Development,3,Life Sciences,3,2,Laboratory Technician,4,6472,Yes,3,3,9,5
No,Travel_Rarely,Sales,3,Marketing,3,3,Sales Executive,3,9241,No,3,3,10,8
No,Non-Travel,Research & Development,4,Medical,3,1,Research Scientist,4,4258,No,3,3,4,1
No,Non-Travel,Sales,2,Technical Degree,3,2,Sales Executive,3,4736,Yes,3,4,2,2
No,Travel_Rarely,Research & Development,4,Other,3,1,Research Scientist,1,2367,No,3,2,8,7
No,Travel_Rarely,Research & Development,1,Other,1,2,Healthcare Representative,1,9715,No,3,3,7,0
No,Travel_Rarely,Research & Development,2,Technical Degree,2,4,Healthcare Representative,3,13964,Yes,3,3,7,0
No,Travel_Rarely,Research & Development,4,Life Sciences,1,1,Research Scientist,4,2977,No,3,3,4,1
No,Travel_Frequently,Sales,3,Life Sciences,3,2,Sales Executive,1,4898,No,3,3,4,1
No,Non-Travel,Research & Development,3,Life Sciences,2,1,Laboratory Technician,2,2332,No,4,3,3,0
No,Travel_Rarely,Research & Development,2,Medical,3,2,Manufacturing Director,1,4306,No,3,1,13,3
No,Travel_Rarely,Sales,3,Other,3,2,Sales Executive,4,6274,No,4,3,6,1
No,Travel_Rarely,Research & Development,5,Life Sciences,3,2,Manufacturing Director,1,5121,No,3,3,0,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,4,Research Director,1,16880,Yes,3,3,3,1
No,Travel_Rarely,Research & Development,2,Life Sciences,4,1,Research Scientist,4,4680,No,3,3,1,0
No,Travel_Rarely,Sales,2,Marketing,3,2,Sales Executive,4,4537,Yes,4,3,7,7
